20 20
184 844 987 138 921 273 558 323 910 958 528 86 844 634 467 715 760 539 741 759 
212 305 849 445 685 596 777 405 71 856 750 973 420 738 112 61 13 670 384 642 
630 913 728 194 267 914 909 29 454 651 507 667 675 358 831 361 673 610 766 463 
186 517 437 607 257 269 668 988 658 54 631 289 967 79 483 953 993 113 982 449 
764 491 835 160 568 667 521 960 996 8 424 184 525 580 510 501 849 179 209 509 
951 840 517 638 919 720 593 633 833 576 801 317 786 637 477 355 24 718 35 22 
726 459 924 970 759 435 473 328 614 682 556 286 243 75 924 881 514 237 234 67 
533 36 384 320 673 581 395 417 300 430 439 27 609 83 997 88 518 190 416 851 
592 973 138 554 767 782 436 282 20 671 68 553 426 452 874 819 752 988 237 771 
138 395 517 747 478 235 835 996 425 971 848 736 945 706 291 432 489 447 714 228 
837 782 782 264 953 376 84 426 365 40 198 503 435 716 970 913 951 525 910 96 
497 479 833 162 186 843 594 394 291 28 622 847 529 124 113 203 500 915 629 865 
956 546 89 392 263 778 26 933 304 936 31 802 135 583 683 40 427 997 434 438 
744 776 286 275 900 118 197 402 35 545 986 710 92 794 821 75 573 847 9 878 
504 40 400 639 623 802 680 770 800 833 209 265 329 495 540 231 333 456 352 87 
2 58 797 812 572 338 887 146 187 616 743 691 656 862 50 0 385 449 489 904 
284 698 170 332 912 429 282 246 885 634 333 606 412 849 420 984 189 27 849 95 
643 594 505 20 176 555 738 561 724 228 467 727 645 637 60 558 68 343 524 672 
977 576 280 109 427 419 94 335 165 944 149 809 258 373 548 153 647 287 715 372 
234 901 100 879 258 161 438 45 504 962 718 201 259 717 311 686 137 124 740 21 

787 608 830 764 981 98 918 629 385 353 3 338 973 103 218 232 264 657 278 487 
339 715 408 598 433 719 4 289 562 463 310 70 72 860 834 54 958 472 684 64 
544 406 402 518 509 340 751 493 997 748 699 56 464 108 374 897 546 378 187 828 
561 216 898 633 77 733 407 755 925 810 538 470 217 940 989 445 281 460 657 997 
209 77 773 392 185 148 290 451 245 196 280 525 131 179 160 927 631 286 683 557 
97 222 747 33 881 737 197 882 916 855 599 126 932 92 237 836 240 527 288 205 
442 568 730 292 466 609 220 99 895 903 375 711 844 123 463 446 579 661 329 496 
517 647 341 169 740 578 724 699 824 732 623 985 20 355 279 487 683 499 305 299 
123 399 729 686 523 194 133 821 855 181 319 92 829 379 979 570 958 704 988 502 
437 613 489 177 687 487 664 371 705 688 389 828 88 120 516 611 314 368 434 170 
550 472 980 380 851 960 669 529 384 658 33 822 272 241 718 959 728 383 51 153 
72 440 701 878 279 936 491 593 305 644 482 855 835 463 236 687 143 624 218 528 
284 969 70 275 211 788 236 658 172 6 811 962 165 513 841 445 450 52 757 475 
415 959 331 251 423 287 658 286 911 595 814 196 565 884 472 495 673 427 154 564 
152 684 246 317 917 806 762 87 578 240 562 712 200 894 683 342 182 342 628 812 
937 443 10 222 47 201 717 439 628 590 722 780 993 687 816 911 495 580 0 792 
539 281 505 739 894 189 82 77 250 711 890 906 873 619 129 921 539 565 80 886 
156 803 386 151 491 203 781 705 502 781 498 42 782 723 781 677 631 864 474 601 
295 84 508 169 703 638 91 243 922 890 130 80 694 516 949 904 438 731 611 941 
233 828 983 16 271 485 693 903 350 886 505 645 970 732 814 393 90 625 355 14 

516 204 812 929 439 762 834 878 213 446 820 446 994 523 181 266 9 594 888 78 
481 394 442 453 846 976 565 936 602 921 950 837 126 482 486 285 245 321 164 459 
487 703 624 482 227 806 748 955 120 638 752 601 751 196 773 317 173 59 255 494 
980 924 332 825 408 537 111 372 858 275 550 346 697 176 547 644 701 16 319 540 
373 72 142 125 268 635 162 441 694 417 654 394 342 705 220 469 243 51 842 103 
45 393 168 743 288 716 107 708 732 426 249 106 498 392 949 767 746 112 927 160 
